지점,지점명,일시,실효습도
129,서산,2012-03-20 08:00,66.49
129,서산,2012-03-20 09:00,58.01
129,서산,2012-03-20 10:00,49.51
129,서산,2012-03-20 11:00,45.40
129,서산,2012-03-20 12:00,45.26
129,서산,2012-03-20 13:00,39.19
129,서산,2012-03-20 14:00,36.02
129,서산,2012-03-20 15:00,34.19
129,서산,2012-03-20 16:00,35.78
129,서산,2012-03-20 17:00,40.11
129,서산,2012-03-20 18:00,43.47
129,서산,2012-03-20 19:00,47.47
129,서산,2012-03-20 20:00,52.01
129,서산,2012-03-20 21:00,55.60
129,서산,2012-03-20 22:00,57.69
129,서산,2012-03-20 23:00,58.67
130,울진,2012-03-20 00:00,65.75
130,울진,2012-03-20 01:00,65.34
130,울진,2012-03-20 02:00,66.89
130,울진,2012-03-20 03:00,68.03
130,울진,2012-03-20 04:00,68.61
130,울진,2012-03-20 05:00,69.42
130,울진,2012-03-20 06:00,69.10
130,울진,2012-03-20 07:00,68.34
130,울진,2012-03-20 08:00,62.99
130,울진,2012-03-20 09:00,57.09
130,울진,2012-03-20 10:00,52.70
130,울진,2012-03-20 11:00,52.67
130,울진,2012-03-20 12:00,53.19
130,울진,2012-03-20 13:00,55.99
130,울진,2012-03-20 14:00,54.57
130,울진,2012-03-20 15:00,55.10
130,울진,2012-03-20 16:00,56.82
130,울진,2012-03-20 17:00,56.81
130,울진,2012-03-20 18:00,58.95
130,울진,2012-03-20 19:00,62.41
130,울진,2012-03-20 20:00,68.60
130,울진,2012-03-20 21:00,71.47
130,울진,2012-03-20 22:00,64.98
130,울진,2012-03-20 23:00,63.69
131,청주,2012-03-20 00:00,54.38
131,청주,2012-03-20 01:00,58.03
131,청주,2012-03-20 02:00,58.99
131,청주,2012-03-20 03:00,59.27
131,청주,2012-03-20 04:00,58.69
131,청주,2012-03-20 05:00,58.92
131,청주,2012-03-20 06:00,58.04
131,청주,2012-03-20 07:00,59.72
131,청주,2012-03-20 08:00,53.89
131,청주,2012-03-20 09:00,52.14
131,청주,2012-03-20 10:00,47.00
131,청주,2012-03-20 11:00,40.83
131,청주,2012-03-20 12:00,38.18
131,청주,2012-03-20 13:00,36.28
131,청주,2012-03-20 14:00,36.23
131,청주,2012-03-20 15:00,37.45
131,청주,2012-03-20 16:00,37.27
131,청주,2012-03-20 17:00,36.27
131,청주,2012-03-20 18:00,36.71
131,청주,2012-03-20 19:00,38.54
131,청주,2012-03-20 20:00,41.05
131,청주,2012-03-20 21:00,44.43
131,청주,2012-03-20 22:00,47.22
131,청주,2012-03-20 23:00,49.59
133,대전,2012-03-20 00:00,53.25
133,대전,2012-03-20 01:00,54.99
133,대전,2012-03-20 02:00,56.32
133,대전,2012-03-20 03:00,60.39
133,대전,2012-03-20 04:00,62.46
133,대전,2012-03-20 05:00,63.46
133,대전,2012-03-20 06:00,64.34
133,대전,2012-03-20 07:00,65.89
133,대전,2012-03-20 08:00,61.73
133,대전,2012-03-20 09:00,53.01
133,대전,2012-03-20 10:00,45.60
133,대전,2012-03-20 11:00,41.92
133,대전,2012-03-20 12:00,38.19
133,대전,2012-03-20 13:00,35.14
133,대전,2012-03-20 14:00,36.58
133,대전,2012-03-20 15:00,36.53
133,대전,2012-03-20 16:00,36.73
133,대전,2012-03-20 17:00,37.08
133,대전,2012-03-20 18:00,37.57
133,대전,2012-03-20 19:00,39.21
133,대전,2012-03-20 20:00,40.30
133,대전,2012-03-20 21:00,43.48
133,대전,2012-03-20 22:00,45.47
133,대전,2012-03-20 23:00,47.32
135,추풍령,2012-03-20 00:00,53.15
135,추풍령,2012-03-20 01:00,53.62
135,추풍령,2012-03-20 02:00,54.92
135,추풍령,2012-03-20 03:00,56.95
135,추풍령,2012-03-20 04:00,59.49
135,추풍령,2012-03-20 05:00,58.55
135,추풍령,2012-03-20 06:00,57.20
135,추풍령,2012-03-20 07:00,58.94
135,추풍령,2012-03-20 08:00,56.77
135,추풍령,2012-03-20 09:00,54.42
135,추풍령,2012-03-20 10:00,50.21
135,추풍령,2012-03-20 11:00,45.92
135,추풍령,2012-03-20 12:00,37.90
135,추풍령,2012-03-20 13:00,36.96
135,추풍령,2012-03-20 14:00,35.83
135,추풍령,2012-03-20 15:00,33.56
135,추풍령,2012-03-20 16:00,35.09
135,추풍령,2012-03-20 17:00,36.51
135,추풍령,2012-03-20 18:00,38.06
135,추풍령,2012-03-20 19:00,41.61
135,추풍령,2012-03-20 20:00,44.03
135,추풍령,2012-03-20 21:00,43.06
135,추풍령,2012-03-20 22:00,43.89
135,추풍령,2012-03-20 23:00,46.57
136,안동,2012-03-20 00:00,57.23
136,안동,2012-03-20 01:00,57.42
136,안동,2012-03-20 02:00,56.97
136,안동,2012-03-20 03:00,59.84
136,안동,2012-03-20 04:00,59.65
136,안동,2012-03-20 05:00,58.90
136,안동,2012-03-20 06:00,63.50
136,안동,2012-03-20 07:00,64.08
136,안동,2012-03-20 08:00,61.70
136,안동,2012-03-20 09:00,57.45
136,안동,2012-03-20 10:00,52.67
136,안동,2012-03-20 11:00,47.36
136,안동,2012-03-20 12:00,43.29
136,안동,2012-03-20 13:00,36.47
136,안동,2012-03-20 14:00,31.35
136,안동,2012-03-20 15:00,31.35
136,안동,2012-03-20 16:00,28.47
136,안동,2012-03-20 17:00,31.19
136,안동,2012-03-20 18:00,34.28
136,안동,2012-03-20 19:00,39.91
136,안동,2012-03-20 20:00,42.35
136,안동,2012-03-20 21:00,43.50
136,안동,2012-03-20 22:00,46.57
136,안동,2012-03-20 23:00,47.63
